Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
????	?	????	????	C000320-9		As Va Lo Ho		835	Im	K5 V	{ -1 }	(C21+0)	[225A]	B	17	24
????	?	????	????	C869532-7	S	Ni Pr		116	Im	G8 II BD	{ -2 }	(343+5)	[5384]	Bc	15	180
????	?	????	????	C211858-B		Ic Ph Na Pi		606	Im	M9 V	{ +1 }	(C7B-1)	[A91D]	BDe	18	-924
????	?	????	????	C332577-9		Ni Px Po		136	Im	A2 V K2 VI	{ -1 }	(G44-2)	[24AB]	B	16	-512
????	?	????	????	B7A6337-8		Fl Lo Ho		818	Im	F5 V	{ -1 }	(D21+0)	[1244]	B	17	26
????	?	????	????	B345655-7	NS	Ni Ag		401	Im	A0 V	{ +1 }	(757-4)	[374B]	BC	10	-980
????	?	????	????	B47A766-C		Wa Pi Co		237	Im	K6 V BD	{ +2 }	(K69-1)	[695D]	BD	18	-1026
????	?	????	????	E58A452-9		Wa Ni Co		103	Im	K5 V	{ -2 }	(C33+4)	[2238]	B	7	432
????	?	????	????	B351555-B		Ni Po		814	Im	M5 V	{ +1 }	(E42-4)	[466C]	B	10	-448
????	?	????	????	E574598-6		Ni Ag		904	Im	F7 V	{ -2 }	(440+0)	[2339]	BC	13	16
????	?	????	????	D333102-6	S	Lo Po Ho		42A	Im	F5 V	{ -3 }	(901-5)	[111A]	B	20	-45
????	?	????	????	D478169-5	S	Lo		405	Im	F0 V	{ -3 }	(801-5)	[2153]	B	18	-40
????	?	????	????	C6379EG-8		Hi	R	617	Im	K7 V	{ +0 }	(B87+3)	[B94B]	BE	13	1848
????	?	????	????	E310457-7		Ni Co		828	Im	K8 V BD M2 VI	{ -3 }	(530+1)	[4155]	B	17	15
????	?	????	????	E89A000-5		Wa Di		005	Im	G1 V	{ -3 }	(905-4)	[0000]	B	8	-180
????	?	????	????	C534258-A		Lo		615	Im	M7 V	{ +0 }	(H11+2)	[1226]	B	14	34
????	?	????	????	C448788-7		Ag Pi Fa		511	Im	K0 V M9 VI BD M8 V	{ +0 }	(665+0)	[9757]	BCD	5	180
????	?	????	????	D320202-A	S	De He Lo Po		707	Im	G9 V M7 V	{ -1 }	(G11+0)	[2149]	B	13	16
????	?	????	????	C966358-8		Lo Ho Tr		122	Im	K5 V M3 VI	{ -2 }	(D21-1)	[7148]	B	11	-26
????	?	????	????	C55655A-5	S	Ni Ag		436	Im	G3 V BD	{ -1 }	(642-1)	[4457]	BC	16	-48
