Orbit,Decimal Orbit,Orbital Distance,Name,Content Type,UWP,TCs and Remarks,Orbit,Orbital Distance,Diameter,Jump Point distance,Time to Jump Point at ...,Density Type,Density,Mass,Surface Gravity (G),Rotation Period,Orbital Period,Axial Tilt,Surface Atmospheric Pressure,Atmosphere Composition,Albedo,Greenhouse,Base Surface Temperature,Base Daytime temperature,Base Nighttime temperature,Summer temperature increase,Winter temperature decrease,Upper Temperature Limit,Lower Temperature Limit,Hydrographic Percentage,Surface Liquid Composition,Native Life,Native Intelligent Life,Seismic Stress
Primary,,,,Star,G4 V,
0,0.5,0.3 AU,,Inferno,Y8B0000-0,He Ba Tz,0.5,0.3,12252,85077399,1G: 5h 7m 27s; 2G: 3h 37m 24s; 3G: 2h 57m 30s; 4G: 2h 33m 43s; 5G: 2h 17m 29s; 6G: 2h 5m 31s; ,Heavy Core,1.5,1.5,1.5,1471.68,0.168,0,1,Corrosive gas mix at temperature 507&deg;C and at Standard pressure. The atmosphere is composed of Carbon Dioxide(99.9609925%) and Sulfur Dioxide(0.0390075%). ,0.36,1.9,507,2457,390,0,0,2457,390,2,Sulfuric Acid,No,Extinct Exotic Natives,3,
1,1,0.4 AU,,Big world,YC9A256-5,Oc Lo Tz,1,0.4,19355,70117612,1G: 4h 39m 7s; 2G: 3h 17m 22s; 3G: 2h 41m 9s; 4G: 2h 19m 33s; 5G: 2h 4m 49s; 6G: 1h 53m 57s; ,Molten Core,1.02,3.443,1.53,2260.08,0.258,0,1.7,Standard Oxygen / Nitrogen Mix with a taint caused by Low Oxygen,0.57,1.15,2,1102,-25,0,0,1102,-25,99,Water,No,Transients,4,
2,2.2,0.76 AU,,Large Gas Giant,Size: S,Size: S,
,bee,248227 km,,Ring System

,dee,496453 km,,Inferno,YBB0000-0,He Ba Ho Sa Lk,dee,496453,17093,16262378,1G: 2h 14m 25s; 2G: 1h 35m 3s; 3G: 77m 36s; 4G: 67m 12s; 5G: 60m 6s; 6G: 54m 52s; ,Heavy Core,1.55,4.029,2.13,29.56,0.044,46,100,Corrosive gas mix at temperature 114&deg;C and at Very Dense pressure. The atmosphere is composed of Fluorine(0.0018%), Sulfur Dichloride(0.0559%), Sulfur Dioxide(0.034007499999999996%) and Hydrogen Sulfide(0.0622%). ,0.4,1.6,114,117,111,28,46,2049,95,2,Sulfuric Acid,No,Extinct Exotic Natives,488
,gee,992906 km,,Big world,YDFA254-A,Oc Lo Ho Sa Lk,gee,992906,21576,16262378,1G: 2h 14m 25s; 2G: 1h 35m 3s; 3G: 77m 36s; 4G: 67m 12s; 5G: 60m 6s; 6G: 54m 52s; ,Molten Core,1,4.291,1.62,82.65,0.123,9,0.06,Standard Oxygen / Nitrogen Mix,0.6,1,-112,-75,-225,5,9,-64,-225,98,Water,No,Transients,243
,eye,2482266 km,,Hospitable,H540364-6,De He Lo Po Ho Re Sa Lk,eye,2482266,7581,16262378,1G: 2h 14m 25s; 2G: 1h 35m 3s; 3G: 77m 36s; 4G: 67m 12s; 5G: 60m 6s; 6G: 54m 52s; ,Molten Core,0.98,0.239,0.61,327.26,0.487,32,0.48,Standard Oxygen / Nitrogen Mix with a taint caused by Sulfur Compounds,0.19,1.05,70,168,-33,19,32,585,-33,2,Water,No,Transients,95
,arr,24822658 km,,Big world,YGB9367-6,Fl Lo Ho Sa,arr,24822658,25588,16262378,1G: 2h 14m 25s; 2G: 1h 35m 3s; 3G: 77m 36s; 4G: 67m 12s; 5G: 60m 6s; 6G: 54m 52s; ,Molten Core,0.86,6.88,1.72,53.19,15.393,13,0.35,Corrosive gas mix at temperature 114&deg;C and at Very Thin pressure. The atmosphere is composed of Chlorine(0.0685%) and Sulfur Dichloride(0.0962%). ,0.4,1.6,114,135,-79,8,13,424,-79,90,Hydrochloric Acid,No,Transients,10
3,3.2,1.12 AU,Dancek,Hospitable,E453475-7,Ni Po,3.2,1.12,5806,580600,1G: 25m 23s; 2G: 17m 57s; 3G: 14m 39s; 4G: 12m 41s; 5G: 11m 21s; 6G: 10m 22s; ,Molten Core,0.98,0.123,0.49,25.85,1.21,44,0.5,Standard Oxygen / Nitrogen Mix,0.16,1.05,20,28,-19,26,44,460,-68,28,Water,Yes,Settlers,4,
4,4,1.6 AU,,Inferno,Y9B0000-0,He Ba Co,4,1.6,14694,1469400,1G: 40m 24s; 2G: 28m 34s; 3G: 23m 19s; 4G: 20m 12s; 5G: 18m 4s; 6G: 16m 29s; ,Heavy Core,1.8,2.563,2.03,25.6,2.066,16,0.95,Corrosive gas mix at temperature 65&deg;C and at Standard pressure. The atmosphere is composed of Chlorine(0.0424%) and Carbon Dioxide(99.9576%). ,0.36,1.9,65,71,52,10,16,910,14,4,Hydrochloric Acid,No,Extinct Exotic Natives,4,
5,4.7,2.44 AU,,Large Gas Giant,Size: U,Size: U,
,pee,20253800 km,,Rad world,Y658000-0,Ba Fr Sa,pee,20253800,9594,959400,1G: 32m 38s; 2G: 23m 5s; 3G: 18m 51s; 4G: 16m 19s; 5G: 14m 36s; 6G: 13m 19s; ,Molten Core,1.02,0.43,0.76,91.49,7.168,12,0.6,Standard Oxygen / Nitrogen Mix,0.45,1.05,-143,-116,-182,7,12,52,-182,85,Water,No,Extinct Natives,33
6,5.8,4.6 AU,,Ice world,Y796000-5,Di Fr,5.8,4.6,11215,1121500,1G: 35m 18s; 2G: 24m 57s; 3G: 20m 22s; 4G: 17m 39s; 5G: 15m 47s; 6G: 14m 24s; ,Icy Body,0.46,0.308,0.4,21.2,10.069,14,1.6,Standard Oxygen / Nitrogen Mix with a taint caused by Disease,0.33,1.15,-147,-143,-152,8,14,357,-160,58,Water,Yes,Catastrophic Extinct Natives,32,
,bee,22430 km,,Ice world,Y344210-6,Lo Fr Sa Lk,bee,22430,4073,1099070,1G: 34m 56s; 2G: 24m 42s; 3G: 20m 10s; 4G: 17m 28s; 5G: 15m 37s; 6G: 14m 15s; ,Icy Body,0.26,0.01371,0.0975,13.44,0.02,26,0.7,Standard Oxygen / Nitrogen Mix with a taint caused by Sulfur Compounds,0.24,1.05,-142,-138,-162,16,26,55,-181,44,Water,Yes,Transients,88
,yu,4486000 km,,Rad world,Y476000-0,Ba Fr Sa,yu,4486000,5996,599600,1G: 25m 48s; 2G: 18m 15s; 3G: 14m 54s; 4G: 12m 54s; 5G: 11m 32s; 6G: 10m 32s; ,Rocky Body,0.68,0.085,0.34,21.02,56.689,2,0.95,Standard Oxygen / Nitrogen Mix with a taint caused by High Oxygen,0.39,1.1,-163,-158,-174,1,2,112,-179,59,Water,Yes,Extinct Natives,2
,vee,5607500 km,,Ice world,Y445045-3,Fr Sa,vee,5607500,6295,629500,1G: 26m 26s; 2G: 18m 42s; 3G: 15m 16s; 4G: 13m 13s; 5G: 11m 49s; 6G: 10m 47s; ,Icy Body,0.3,0.0375,0.15,33.02,79.225,28,0.7,Standard Oxygen / Nitrogen Mix with a taint caused by Pollutants,0.28,1.05,-149,-139,-186,17,28,37,-186,52,Water,Yes,Catastrophic Extinct Natives,0
7,6.8,9.1 AU,,Worldlet,Y240303-9,De Lo Po,6.8,9.1,3426,342600,1G: 19m 30s; 2G: 13m 47s; 3G: 11m 15s; 4G: 9m 45s; 5G: 8m 43s; 6G: 7m 57s; ,Icy Body,0.3,0.00469,0.075,37.1,28.017,27,0.6,Standard Oxygen / Nitrogen Mix with a taint caused by Gas Mix,0.19,1.05,-174,-163,-204,16,27,-25,-204,3,Water,No,Transients,1,
8,8.3,26 AU,,Rad world,Y796000-0,Ba Fr,8.3,26,11286,1128600,1G: 35m 24s; 2G: 25m 2s; 3G: 20m 26s; 4G: 17m 42s; 5G: 15m 50s; 6G: 14m 27s; ,Molten Core,1.02,0.683,0.89,25.03,135.308,27,1.6,Standard Oxygen / Nitrogen Mix with a taint caused by Low Oxygen,0.29,1.15,-217,-212,-223,16,27,7,-223,59,Water,No,Extinct Natives,25,
,ee,56430 km,,Ice world,Y458000-4,Di Fr Sa Lk,ee,56430,5810,1072170,1G: 34m 30s; 2G: 24m 24s; 3G: 19m 55s; 4G: 17m 15s; 5G: 15m 26s; 6G: 14m 5s; ,Icy Body,0.3,0.0375,0.15,40.99,0.061,17,0.55,Standard Oxygen / Nitrogen Mix,0.48,1.05,-235,-223,-246,10,17,-178,-246,76,Water,Yes,Catastrophic Extinct Natives,38
,ell,564300 km,,Ice world,Y410000-5,Di Sa Lk,ell,564300,6516,651600,1G: 26m 54s; 2G: 19m 1s; 3G: 15m 32s; 4G: 13m 27s; 5G: 12m 1s; 6G: 10m 59s; ,Icy Body,0.42,0.0525,0.21,1288.22,1.917,6,0.07,Trace gases,0.29,1,-224,-209,-258,4,6,-209,-258,3,Water,No,Vanished Transplants,3
9,9.1,43.5 AU,,Ice world,Y636004-3,Fr,9.1,43.5,9972,997200,1G: 33m 17s; 2G: 23m 32s; 3G: 19m 13s; 4G: 16m 38s; 5G: 14m 53s; 6G: 13m 35s; ,Icy Body,0.4,0.169,0.3,17.02,292.818,26,0.12,Standard Oxygen / Nitrogen Mix with a taint caused by Pollutants,0.25,1,-233,-226,-253,16,26,-201,-253,62,Water,No,Catastrophic Extinct Natives,8,
,ay,9972 km,,Ring System

,bee,19944 km,,Ring System

