Orbit,Decimal Orbit,Orbital Distance,Name,Content Type,UWP,TCs and Remarks,Orbit,Orbital Distance,Diameter,Jump Point distance,Time to Jump Point at ...,Density Type,Density,Mass,Surface Gravity (G),Rotation Period,Orbital Period,Axial Tilt,Surface Atmospheric Pressure,Atmosphere Composition,Albedo,Greenhouse,Base Surface Temperature,Base Daytime temperature,Base Nighttime temperature,Summer temperature increase,Winter temperature decrease,Upper Temperature Limit,Lower Temperature Limit,Hydrographic Percentage,Surface Liquid Composition,Native Life,Native Intelligent Life,Seismic Stress
Primary,,,,Star,K4 V,
0,0.1,0.22 AU,,Inner world,Y100144-9,Va Lo Tz,0.1,0.22,1278,55247572,1G: 4h 7m 45s; 2G: 2h 55m 11s; 3G: 2h 23m 2s; 4G: 2h 3m 52s; 5G: 1h 50m 48s; 6G: 1h 41m 8s; ,Molten Core,0.9,0.00176,0.11,1147.56,0.131,0,0,None,0.24,1,103,141,-198,0,0,141,-198,3,Water,No,Transients,2,
1,0.9,0.38 AU,,Small Gas Giant,Size: N,Size: N,
,bee,128472 km,,Hospitable,HA79300-6,Lo Ho Sa Lk,bee,128472,16441,31311913,1G: 3h 6m 31s; 2G: 2h 11m 53s; 3G: 1h 47m 41s; 4G: 1h 33m 15s; 5G: 83m 24s; 6G: 76m 8s; ,Molten Core,0.94,1.836,1.18,12.09,0.018,20,1.1,Standard Oxygen / Nitrogen Mix with a taint caused by Pollutants,0.57,1.1,-95,-92,-101,12,20,350,-122,87,Water,No,Transients,502
,eff,385415 km,,Hospitable,H889202-5,Lo Ho Sa Lk,eff,385415,13510,31311913,1G: 3h 6m 31s; 2G: 2h 11m 53s; 3G: 1h 47m 41s; 4G: 1h 33m 15s; 5G: 83m 24s; 6G: 76m 8s; ,Molten Core,0.96,0.96,0.96,62.49,0.093,19,2,Standard Oxygen / Nitrogen Mix,0.29,1.15,34,46,18,11,19,1262,3,91,Water,Yes,Transients,170
,aitch,642358 km,,Rad world,Y485000-0,Ba Ho Sa Lk,aitch,642358,7129,31311913,1G: 3h 6m 31s; 2G: 2h 11m 53s; 3G: 1h 47m 41s; 4G: 1h 33m 15s; 5G: 83m 24s; 6G: 76m 8s; ,Molten Core,1,0.125,0.5,133.72,0.199,23,1.6,Standard Oxygen / Nitrogen Mix,0.31,1.15,26,53,-4,14,23,1222,-4,49,Water,Yes,Extinct Natives,103
,eye,1284716 km,,Rad world,YAB2000-0,Fl He Ba Ho Sa Lk,eye,1284716,16337,31311913,1G: 3h 6m 31s; 2G: 2h 11m 53s; 3G: 1h 47m 41s; 4G: 1h 33m 15s; 5G: 83m 24s; 6G: 76m 8s; ,Molten Core,0.9,1.758,1.13,378.33,0.563,12,100,Corrosive gas mix at temperature 304&deg;C and at Very Dense pressure. The atmosphere is composed of Chlorine(0.0171%) and Nitrogen(99.9829%). ,0.27,2.1,304,342,275,7,12,3189,275,21,Hydrochloric Acid,No,Extinct Exotic Natives,52
,tee,19270734 km,,Big world,FCA5695-6,Fl Ni Ho Sa,tee,19270734,18946,31311913,1G: 3h 6m 31s; 2G: 2h 11m 53s; 3G: 1h 47m 41s; 4G: 1h 33m 15s; 5G: 83m 24s; 6G: 76m 8s; ,Heavy Core,2,6.75,3,22.95,32.723,22,0.3,Exotic gas mix at Very Thin pressure. The atmosphere is composed of Fluorine(0.0009%) and Nitrogen(99.9991%). ,0.44,1.4,22,31,-70,13,22,258,-125,52,Hydrofluoric Acid,No,Settlers,9
2,2.2,0.76 AU,,Large Gas Giant,Size: V,Size: V,
,ee,1416784 km,,Inferno,Y9B0000-0,He Ba Sa Lk,ee,1416784,14777,26918894,1G: 2h 52m 56s; 2G: 2h 2m 17s; 3G: 1h 39m 50s; 4G: 86m 28s; 5G: 77m 20s; 6G: 70m 36s; ,Molten Core,0.9,1.281,1.01,48.38,0.072,26,0.3,"Corrosive gas mix at temperature -64&deg;C and at Very Thin pressure. The atmosphere is composed of Fluorine(0.0083%), Sulfur Dichloride(0.0891%), Sulfur Dioxide(0.0696075%) and Hydrogen Sulfide(0.0407%). ",0.44,1.4,-64,-45,-168,16,26,103,-168,5,Hydrofluoric Acid,No,Extinct Exotic Natives,887
,eff,1700141 km,,Hospitable,Y331535-8,Ni Po Sa Lk,eff,1700141,4675,26635537,1G: 2h 52m 1s; 2G: 2h 1m 38s; 3G: 1h 39m 19s; 4G: 86m 0s; 5G: 76m 56s; 6G: 70m 13s; ,Molten Core,0.94,0.04957,0.35,63.84,0.095,14,0.23,Standard Oxygen / Nitrogen Mix with a taint caused by Pollutants,0.3,1,-87,-61,-180,8,14,62,-180,7,Water,No,Settlers,740
,jay,8500703 km,,Rad world,Y8A8000-0,Fl Ba Sa Lk,jay,8500703,12883,19834975,1G: 2h 28m 27s; 2G: 1h 44m 58s; 3G: 85m 42s; 4G: 74m 13s; 5G: 66m 23s; 6G: 60m 36s; ,Heavy Core,2,2,2,714.33,1.063,60,1,Exotic gas mix at Standard pressure. The atmosphere is composed of Chlorine(0.0004%) and Carbon Dioxide(99.9996%). ,0.7,1.3,-169,10,-185,36,60,91,-185,82,Hydrochloric Acid,No,Extinct Exotic Natives,148
,yu,113342712 km,Ganiba,Hospitable,A7897A9-B,Ri Sa,yu,113342712,11173,1117300,1G: 35m 14s; 2G: 24m 54s; 3G: 20m 20s; 4G: 17m 37s; 5G: 15m 45s; 6G: 14m 23s; ,Molten Core,0.98,0.657,0.86,63.3,51.765,16,2.2,Standard Oxygen / Nitrogen Mix,0.44,1.15,-102,-89,-118,10,16,582,-119,88,Water,No,Established Transplants,12
3,3.3,1.18 AU,,Storm world,Y662000-5,Di Co,3.3,1.18,9887,988700,1G: 33m 8s; 2G: 23m 26s; 3G: 19m 8s; 4G: 16m 34s; 5G: 14m 49s; 6G: 13m 31s; ,Molten Core,1,0.422,0.75,21.52,1.627,44,1,Standard Oxygen / Nitrogen Mix,0.2,1.1,-85,-80,-96,26,44,385,-113,15,Water,No,Catastrophic Extinct Natives,0,
,arr,1977400 km,,Storm world,Y371020-2,He Co Sa,arr,1977400,4365,436500,1G: 22m 1s; 2G: 15m 34s; 3G: 12m 42s; 4G: 11m 0s; 5G: 9m 50s; 6G: 8m 59s; ,Molten Core,0.94,0.04957,0.35,33.08,16.102,4,1.3,Standard Oxygen / Nitrogen Mix with a taint caused by Gas Mix,0.17,1.1,-78,-70,-95,2,4,410,-107,10,Water,No,Catastrophic Extinct Natives,4
4,3.9,1.54 AU,,Ice world,Y89A046-5,Wa Fr,3.9,1.54,12262,1226200,1G: 36m 54s; 2G: 26m 6s; 3G: 21m 18s; 4G: 18m 27s; 5G: 16m 30s; 6G: 15m 4s; ,Icy Body,0.28,0.28,0.28,17.4,2.425,35,2,Standard Oxygen / Nitrogen Mix with a taint caused by Sulfur Compounds,0.58,1.15,-183,-180,-187,21,35,177,-192,100,Water,No,Catastrophic Extinct Natives,0,
7,7.5,15 AU,,Secondary Star System,Secondary (D),
14,14.5,1830 AU,,Tertiary Star System,Tertiary (D),
