Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Fore	A	0103	Onshbizhdrpr	D63067B-3	M	De Ni Na Po Da	A	209	ZhIN	K4 V	{ -3 }	(850+3)	[5315]		22	120
Fore	A	0104	Iizfredr	B621403-9	K	He Ni Po Co		102	ZhIN	F7 V	{ +0 }	(C33+1)	[5499]		8	108
Fore	A	0202	Zanzh	C467400-8		Ni Pa		606	ZhIN	K8 III M6 V	{ -2 }	(E30-4)	[6224]		10	-168
Fore	A	0203	Astietl	A3308AA-9		De Ph Na Po Pz	A	60A	ZhIN	K0 V	{ +1 }	(J74+0)	[893A]		17	504
Fore	A	0302	Renchezhonsh	A9EA500-C	K	Ni Wa Da	A	706	ZhIN	F0 V	{ +1 }	(C47+3)	[4669]		11	1008
Fore	A	0304	Edvranzh	A441000-E	K	He Di Po Fa		037	ZhIN	M9 V	{ +1 }	(G0D-1)	[0000]		17	-208
Fore	A	0305	Chtanshe	B753545-B	K	Ni Po		924	ZhIN	K4 V BD M7 VI BD	{ +1 }	(F44+0)	[5619]		12	240
Fore	A	0306	Shotsie	B871664-7		He Ni Co O:0305		905	ZhIN	F8 V	{ -1 }	(352-5)	[6552]		16	-150
Fore	A	0308	Zdetlbliavr	???????-?				???	ZhIN							0
Fore	A	0309	Afrochtiz	???????-?				???	ZhIN							0
Fore	A	0401	Iaprinshshinzh	???????-?				???	ZhIN							0
Fore	A	0402	Adlinsh	???????-?				???	ZhIN							0
Fore	A	0403	Iensh	???????-?				???	ZhIN							0
Fore	A	0404	Kratl	???????-?				???	ZhIN							0
Fore	A	0408	Ienzhstia'dafl	???????-?				???	ZhIN							0
Fore	A	0502	Nazhdalshenzh	???????-?				???	ZhIN							0
Fore	A	0503	Qriadriflev	???????-?				???	ZhIN							0
Fore	A	0504	Evjilakibr	???????-?				???	ZhIN							0
Fore	A	0505	Naqchtiz	???????-?				???	ZhIN							0
Fore	A	0507	Tlavrsepr	???????-?				???	ZhIN							0
Fore	A	0508	Naqchtiz	???????-?				???	ZhIN							0
Fore	A	0604	Chtiabrefl	???????-?				???	ZhIN							0
Fore	A	0607	Ichevlrt	???????-?				???	ZhIN							0
Fore	A	0610	Amkietsser	???????-?				???	ZhIN							0
Fore	A	0708	Lojedrr	???????-?				???	ZhIN							0
Fore	A	0801	Adliaf	???????-?				???	ZhIN							0
Fore	A	0807	Klechtsaq	???????-?				???	ZhIN							0
Fore	A	0810	Stal	???????-?				???	ZhIN							0
Fore	B	0902		???????-?				???	ZhIN							0
Fore	B	0908		???????-?				???	ZhIN							0
Fore	B	0909		???????-?				???	ZhIN							0
Fore	B	0910		???????-?				???	ZhIN							0
Fore	B	1007		???????-?				???	ZhIN							0
Fore	B	1102		???????-?				???	ZhIN							0
Fore	B	1103		???????-?				???	ZhIN							0
