Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
????	A	0103	????	C7A7769-5	S	Fl Co		828		M5 V BD BD	{ -1 }	(567+0)	[5659]	B	17	210
????	A	0104	????	D76A437-9		Wa Ni		525		K8 V BD	{ -2 }	(A34-4)	[521B]	B	16	-480
????	A	0202	????	C332687-6		Ni Na Px Po		306		A4 III K7 V M4 V	{ -2 }	(750+5)	[5446]	B	17	175
????	A	0203	????	B544513-8		Ni Ag Co		104		M6 VI	{ +0 }	(C43+3)	[5546]	BC	15	432
????	A	0302	????	A400768-D		Va Na Pi Ho		235		K9 V M5 V	{ +2 }	(J69-1)	[793B]	BD	20	-972
????	A	0304	????	A000446-G		As Va Ni Ho		706		F0 V	{ +2 }	(A38+1)	[76AH]	B	15	240
????	A	0305	????	C56A987-7	S	Wa Hi Pr Ri Co		204		M3 V	{ +1 }	(487+1)	[BA57]	BcCE	9	224
????	A	0306	????	E620032-5		De He Di Po		009		A7 V K5 VI	{ -3 }	(604-1)	[0000]	B	18	-24
????	A	0308	????	A5468BB-B		Ph Pa Pi Ho	R	205		F8 V M8 VI	{ +2 }	(B7A-4)	[4A4A]	BcDe	13	-3080
????	A	0309	????	B7C878B-6		Fl		303		F7 V M3 VI	{ +0 }	(863-3)	[8725]	B	15	-432
????	A	0401	????	B30038A-C		Va Lo		626		M2 V BD	{ +1 }	(B21+0)	[4449]	B	14	22
????	A	0402	????	E866102-8		Ga Lo		407		M9 V BD	{ -3 }	(A01+2)	[117A]	B	16	20
????	A	0403	????	B310555-E		Ni		923		F0 V M8 VI	{ +1 }	(E42-4)	[667E]	B	11	-448
????	A	0404	????	B563899-6	NS	Ph Ri Co		735		F0 V	{ +2 }	(579+3)	[8A82]	BCe	12	945
????	A	0408	????	A400462-D		Va Ni		336		F0 V DK	{ +1 }	(B36+0)	[553G]	B	19	198
????	A	0502	????	B249437-C		Ni Co		103		F6 V DM	{ +1 }	(A36-1)	[256D]	B	14	-180
????	A	0503	????	A300535-C	NS	Va Ni		706		F5 VI	{ +2 }	(E48+4)	[9767]	B	15	1792
????	A	0504	????	C864463-6	S	Ni Pa		525		K9 V	{ -2 }	(831-2)	[2255]	Bc	11	-48
????	A	0505	????	C579220-7		Lo Co		235		A5 II G9 VI	{ -2 }	(B11-2)	[1116]	B	18	-22
????	A	0507	????	B323677-9	NS	Ni Na Px Po Fa		306		F4 V	{ +1 }	(F53-4)	[278A]	B	13	-900
????	A	0508	????	A559554-D		Ni		606		K7 V	{ +1 }	(D45+1)	[8659]	B	13	260
