Milieu Short Name	Used	Date Start	Date End 	Era Name (Milieu) 	Primary Setting Events 	Game Name 	Game Edition 	Pub. Date
IW	Y	-2404	-2203 	Interstellar Wars 	First Imperium (Ziru Sirka) & Interstellar Wars 	GURPS Traveller: Interstellar Wars 	06th Edition 	2002
ROM	N	-2204	-1776 	Rule of Man 	Collapse of First Imperium & Rule of Man (Second Imperium) 	GURPS Traveller: Interstellar Wars 	06th Edition 	2002
LN	N	-1775	0 	Long Night 	Collapse of Second Imperium & Long Night 	Marc Miller's Traveller 	04th Edition 	1996
M0	Y	-25	75 	Milieu 0 	Third Imperium Founding & Sylean Federation 	Marc Miller's Traveller 	04th Edition 	1996
M990	Y	985	1002 	Milieu 990 	Third Imperium & Solomani Rim War 	Traveller D20 	7th Edition 	2002
M1116	N	1100	1116 	Milieu 1116 	Third Imperium Base (Original) Setting & Fifth Frontier War 	Classic Traveller & Traveller5 (T5) 	01st Edition 	1977
M1120	Y	1116	1130 	Milieu 1120 	GURPS Traveller: Alternate Setting (Timeline with no Rebellion) 	GURPS Traveller 	05th edition 	1998
REB	N	1117	1130 	Rebellion 	Collapse of Third Imperium (Rebellion) & Regency 	MegaTraveller 	02nd Edition 	1986
M1201	Y	1190	1220 	New Era 	Reformation Coalition & Virus/New Era 	Traveller: The New Era 	03rd Edition 	1992
4IMP	N	1220	1249+ 	Fourth Imperium 	Fourth Imperium 	Traveller: The New Era 	03rd Edition 	1992
M1248	Y	1221	1249 	Milieu 1248 	Fourth Imperium 	Traveller: The New Era 	08th Edition 	2006
GALX	N	1250+	 	Galaxiad 	The Galaxiad 	Traveller5 or T5 	12th edition 	2015+ (Future) 
