Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance
Gene	A	0109	????	B6AA736-A		Fl Wa		412	Im
Gene	A	0201	????	B68759B-8		Ag Ni		500	Im
Gene	A	0203	????	C210335-B		Lo De Ni		502	Im
Gene	A	0205	????	B998141-6	N	Lo Ni		921	Im
Gene	A	0209	????	D874640-5	S	Ag Ni		125	Im
Gene	A	0210	????	E400269-5		Va Lo De Ni		600	Im
Gene	A	0305	????	B462587-7	N	Ni		903	Im
Gene	A	0405	????	B721000-C		Ba		502	Im
Gene	A	0408	????	A8328AB-A	N	Na Po		004	Im
Gene	A	0409	????	C000120-A		As Lo Ni		704	Im
Gene	A	0503	????	B489569-A	NS	Ni		813	Im
Gene	A	0505	????	X745142-1		Lo Ni	R	820	Im
Gene	A	0506	????	D369104-6	S	Lo Ni		203	Im
Gene	A	0507	????	D532544-4		Ni Po		405	Im
Gene	A	0508	????	C200404-A	S	Va De Ni		610	Im
Gene	A	0606	????	C446897-5	S			315	Im
Gene	A	0607	????	E487841-5				932	Im
Gene	A	0608	????	E100674-7		Va Na Ni		724	Im
Gene	A	0610	????	B6A3786-7	NS	Fl		404	Im
Gene	A	0704	????	X456555-5		Ag Ni	R	603	Im
Gene	A	0705	????	C12498C-D		Hi In		802	Im
Gene	A	0708	????	B647410-7		Ni		413	Im
Gene	A	0709	????	B757256-A		Lo Ni		102	Im
Gene	A	0801	????	A364327-C		Lo Ni		605	Im
Gene	A	0805	????	D548612-2	S	Ag Ni		924	Im
Gene	A	0806	????	B799421-A	N	Ni		104	Im
Gene	A	0807	????	A644110-C		Lo Ni		505	Im
Gene	B	0902	????	A6659A9-A		Hi		720	Im
Gene	B	0903	????	D110646-7		Na Ni		604	Im
Gene	B	0906	????	C566200-5		Lo Ni		720	Im
Gene	B	0907	????	B110666-A	S	Na Ni		624	Im
Gene	B	0908	????	C521610-5	S	Na Ni Po		303	Im
Gene	B	1001	????	B647576-8		Ag Ni		823	Im
Gene	B	1002	????	B434400-C	N	Ni		102	Im
Gene	B	1007	????	B8A6213-9		Fl Lo Ni		723	Im
Gene	B	1008	????	E231333-5		Lo Ni Po		903	Im
Gene	B	1101	????	C54548A-9		Ni		024	Im
Gene	B	1102	????	B738115-C	N	Lo Ni		800	Im
Gene	B	1103	????	B767598-8	N	Ag Ni		700	Im
Gene	B	1104	????	E446245-8		Lo Ni		002	Im
Gene	B	1106	????	E531569-4		Ni Po		021	Im
Gene	B	1108	????	C436773-6	S			420	Im
Gene	B	1110	????	C332422-B		Ni Po		304	Im
Gene	B	1201	????	B477888-B	N			303	Im
Gene	B	1202	????	C348420-5	S	Ni		714	Im
Gene	B	1204	????	B666421-B		Ni		104	Im
Gene	B	1206	????	C588530-7		Ag Ni		202	Im
Gene	B	1208	????	B765AA8-B	S	Hi		422	Im
Gene	B	1301	????	B442734-6		Po		524	Im
Gene	B	1305	????	C410230-A		Lo De Ni		803	Im
Gene	B	1306	????	B469410-9		Ni		604	Im
Gene	B	1307	????	C624100-7	S	Lo Ni		125	Im
Gene	B	1308	????	C333557-8	S	Ni Po		313	Im
Gene	B	1310	????	C130685-7		Na Ni Po		702	Im
Gene	B	1405	????	C887455-8	S	Ni		612	Im
Gene	B	1406	????	D532569-4		Ni Po		301	Im
Gene	B	1407	????	C254000-5		Ba		600	Im
Gene	B	1408	????	B552797-7		Po		602	Im
Gene	B	1505	????	B578343-A	N	Lo Ni		804	Im
Gene	B	1510	????	E9B8573-7		Fl Ni		613	Im
Gene	B	1602	????	B424684-7	S	Ni		100	Im
Gene	B	1606	????	EAB7632-5		Fl Ni		423	Im
Gene	B	1609	????	CAB7112-5		Fl Lo Ni		902	Im
Gene	C	1701	????	A321330-D	N	Lo Ni Po		103	Im
Gene	C	1710	????	A8C5510-D		Fl Ni		402	Im
Gene	C	1801	????	CACA376-7	S	Fl Lo Wa Ni		503	Im
Gene	C	1809	????	A310983-B		Na Hi De In		321	Im
Gene	C	1905	????	X122410-1		Ni Po	R	523	Im
Gene	C	1909	????	B9A6162-8	N	Fl Lo Ni		103	Im
Gene	C	2002	????	C747662-7	S	Ag Ni		002	Im
Gene	C	2003	????	C337201-8		Lo Ni		424	Im
Gene	C	2004	????	E12088A-6		Na Po		104	Im
Gene	C	2101	????	D553778-3	S	Po		404	Im
Gene	C	2105	????	E510741-3		Na De		720	Im
Gene	C	2106	????	B8BA677-B	NS	Fl Wa Ni		604	Im
Gene	C	2107	????	E8A3357-4		Fl Lo Ni		303	Im
Gene	C	2109	????	D7A4741-5		Fl		304	Im
Gene	C	2201	????	D834755-8				802	Im
Gene	C	2203	????	C200852-8		Va Na De		604	Im
Gene	C	2204	????	D5517AA-2	S	Po		603	Im
Gene	C	2206	????	B244A9E-C		Hi In		005	Im
Gene	C	2207	????	C6646A8-5		Ag Ni		400	Im
Gene	C	2208	????	C856203-5		Lo Ni		900	Im
Gene	C	2306	????	B000662-A		As Na Ni		604	Im
Gene	C	2307	????	E356996-9		Hi		011	Im
Gene	C	2308	????	C565733-5		Ag		424	Im
Gene	C	2309	????	C697833-5	S			000	Im
Gene	C	2310	????	D577324-5	S	Lo Ni		704	Im
Gene	C	2404	????	B4876A9-8		Ag Ni		600	Im
Gene	C	2407	????	E343444-6		Ni Po		402	Im
Gene	C	2409	????	D799676-5	S	Ni		303	Im
Gene	C	2410	????	B266863-B	N			900	Im
Gene	D	2502	????	C447441-7	S	Ni		814	Im
Gene	D	2504	????	A434521-D	S	Ni		504	Im
Gene	D	2505	????	A673300-E	N	Lo Ni		001	Im
Gene	D	2507	????	D9A315A-8	S	Fl Lo Ni		803	Im
Gene	D	2509	????	B754313-A	NS	Lo Ni		204	Im
Gene	D	2603	????	B410130-A	N	Lo De Ni		600	Im
Gene	D	2604	????	C20075A-7		Va Na De		113	Im
Gene	D	2606	????	A254359-A		Lo Ni		102	Im
Gene	D	2607	????	D9CA336-7	S	Fl Lo Wa Ni		504	Im
Gene	D	2609	????	C23099C-A	S	Na Hi De Po		904	Im
Gene	D	2610	????	C754210-8		Lo Ni		504	Im
Gene	D	2705	????	C688556-5	S	Ag Ni		100	Im
Gene	D	2708	????	B9B3276-A	NS	Fl Lo Ni		404	Im
Gene	D	2710	????	E864446-7		Ni		423	Im
Gene	D	2807	????	C334452-A		Ni		403	Im
Gene	D	2808	????	A6A6447-C	S	Fl Ni		803	Im
Gene	D	2902	????	C577756-7	S	Ag		724	Im
Gene	D	3001	????	C565556-9	S	Ag Ni		424	Im
Gene	D	3003	????	EAB5757-3		Fl		604	Im
Gene	D	3006	????	B279765-7	N			605	Im
Gene	D	3007	????	E37469A-2		Ag Ni		514	Im
Gene	D	3009	????	C89A443-A		Wa Ni		802	Im
Gene	D	3010	????	E7B4343-8		Fl Lo Ni		724	Im
Gene	D	3104	????	A624520-9	N	Ni		405	Im
Gene	D	3105	????	B334353-C	S	Lo Ni		600	Im
Gene	D	3106	????	A242156-C		Lo Ni Po		804	Im
Gene	D	3107	????	B523675-8		Na Ni Po		103	Im
Gene	D	3210	????	C000221-B		As Lo Ni		905	Im
Gene	E	0111	????	C4456AC-5		Ag Ni		623	Im
Gene	E	0112	????	B265567-C	N	Ag Ni		804	Im
Gene	E	0115	????	B476420-7		Ni		824	Im
Gene	E	0119	????	A664787-8		Ag		024	Im
Gene	E	0212	????	C9A468D-4		Fl Ni		123	Im
Gene	E	0214	????	E74059A-3		De Ni Po		901	Im
Gene	E	0216	????	B684543-9		Ag Ni		702	Im
Gene	E	0219	????	B2258BA-8				202	Im
Gene	E	0314	????	C568887-5				200	Im
Gene	E	0317	????	D440546-3	S	De Ni Po		103	Im
Gene	E	0319	????	D633544-4	S	Ni Po		703	Im
Gene	E	0320	????	D573420-2		Ni		624	Im
Gene	E	0514	????	B200302-C	N	Va Lo De Ni		804	Im
Gene	E	0517	????	C458353-8		Lo Ni		313	Im
Gene	E	0520	????	C410410-8		De Ni		700	Im
Gene	E	0611	????	E657227-3		Lo Ni		613	Im
Gene	E	0612	????	B655655-9		Ag Ni		004	Im
Gene	E	0616	????	E6469BE-6		Hi In		803	Im
Gene	E	0617	????	A31077B-C		Na De		404	Im
Gene	E	0619	????	B220964-D		Na Hi De In Po		304	Im
Gene	E	0620	????	B878541-9	N	Ag Ni		322	Im
Gene	E	0711	????	E254548-4		Ag Ni		104	Im
Gene	E	0712	????	D598635-1	S	Ag Ni		920	Im
Gene	E	0714	????	C100884-8		Va Na		824	Im
Gene	E	0716	????	A345548-D		Ag Ni		923	Im
Gene	E	0717	????	A953434-C	N	Ni Po		203	Im
Gene	E	0720	????	C777303-5		Lo Ni		504	Im
Gene	E	0818	????	C699AAA-C		Hi In		004	Im
